Company;SECTOR;MARKETCAP;EBITDA;EBIT;VE/EBITDA_T12M;MarkCap/BookValue;NetIncome;EV/SALES;FCF;INVENTORIES;TOTASSETS;PAYABLES_ACCRUALS;LS_DEBT;CAPITALSTOCK;InterestExpense;ROE;ROA;ROIC;CAPITALEXPEND;PROFMARGIN;LIABILITIES;REVENUE
PACCAR Inc.;Industrials;16753.8025;3234.7;2327.6;4.1351;2.414;1604;0.6944;830.8;796.5;21109.8;2428.3;8591.5;-179.8;101.3;23.427;7.6878;14.5283;-1725.2;8.3913;14169.4;19115.1
Stanley Black & Decker;Industrials;15980.29;1730;1316;11.192;2.7497;883.7;1.7734;870.9;1526.4;15127.8;2740;3799.7;-486.3;180.4;14.4387;5.7055;13.0609;-311.4;7.9101;9268.6;11171.8
Cummins Inc.;Industrials;15632.4486;2571;2057;6.1472;2.1108;1399;0.8117;1321;2707;15134;3337;1639;-900;65;18.4626;9.0556;21.4629;-744;7.3208;7384;19110
Republic Services Inc;Industrials;15275.0147;2608.8;1558.8;8.7312;1.9649;749.9;2.4911;734.1;0;20535.9;1477.6;7532.9;-338.8;364.9;9.664;3.6914;9.6551;-945.6;8.2271;12759.3;9115
Ingersoll-Rand PLC;Industrials;14433.3981;1855.8;1491.7;9.6869;2.4814;664.6;1.3524;638.8;1410.7;16717.6;3131.6;4217.8;-188.8;223;11.2605;3.9076;14.2052;-249.6;4.9967;10838.4;13300.7
Rockwell Automation Inc.;Industrials;13546.0935;1180.3;1008.1;9.4893;6.0023;729.7;2.5948;830.4;526.6;7101.2;734.2;1964.9;-468.1;71.3;34.3309;10.8056;25.7211;-116.9;12.4109;5111.1;5879.5
Johnson Controls International;Industrials;13481.6853;2129;1176;10.0099;1.3045;-868;2.7321;659;2888;63179;5333;12759;-431;293;-5.0387;-1.8707;4.4168;-1249;-4.1657;37855;20837
Equifax Inc.;Industrials;13194.6294;893.9;693.9;16.0292;5.7097;429.1;5.3888;595.9;0;4501.5;292.5;1187.7;-131.9;63.8;19.0246;9.3664;17.943;-146.2;16.1098;2151.1;2663.6
Parker-Hannifin;Industrials;13187.3429;1484.852;1178.009;7.7757;2.5836;806.84;1.355;1061.371;1173.329;12034.142;1995.733;3014.244;-587.239;136.517;16.671;6.637;15.6671;-149.407;7.102;7455.464;11360.753
AMETEK Inc.;Industrials;12748.1277;1057.176;907.716;13.5315;3.9169;590.859;3.5675;603.457;514.451;6660.45;639.097;1938.04;-375.73;91.795;18.1966;9.0336;15.9587;-69.083;14.867;3405.824;3974.295
Grainger (W.W.) Inc.;Industrials;12720.3272;1528.287;1300.32;9.4911;5.612;768.996;1.4389;662.241;1414.177;5857.755;1187.116;1988.832;-1311.633;33.571;27.8074;13.805;31.2137;-373.868;7.7105;3505.041;9973.384
Fastenal Co;Industrials;11825.3564;915.355;828.755;13.1767;6.5649;516.361;3.1161;395.1;913.263;2532.462;311.116;365;-273.8;3.108;27.7874;21.1123;38.7293;-155.2;13.3455;731.173;3869.187
Alaska Air Group Inc;Industrials;10154.6149;1618;1298;5.8774;4.2118;848;1.685;753;51;6530;1017;683;-505;42;37.3733;13.4667;43.08;-831;15.1483;4119;5598
Snap-on;Industrials;9950.8443;847.3;764.8;12.6946;4.1244;478.7;2.9955;426.8;497.8;4331.1;581.5;880.1;-50.5;51.9;20.7207;11.0795;23.5027;-80.4;13.3228;1900.4;3593.1
Cintas Corporation;Industrials;9829.7135;934.22;768.941;12.7534;5.0866;693.52;2.2862;190.46;249.362;4098.815;555.597;1294.422;-751.925;64.522;36.3639;16.7289;24.0132;-275.385;14.4611;2256.156;4795.772
Dover Corp.;Industrials;9500.9451;1247.851;920.762;9.5312;2.6069;869.829;1.7101;680.862;802.895;8606.076;1215.608;2754.777;-596.14;131.676;23.684;9.864;13.3445;-154.251;12.5042;4961.501;6956.311
L-3 Communications Holdings;Industrials;9368.118;988;785;13.0173;2.1511;-240;1.39;930;333;12069;1249;3626;-658;162;-4.9793;-1.8616;8.7935;-195;-2.5999;7640;9231
Pentair Ltd.;Industrials;8927.9601;765.4;616.1;17.6215;2.2271;-76.4;2.9243;648;564.7;11833.5;626;4685.8;-174.6;106.6;-1.7619;-0.6795;6.9958;-91.3;-1.655;7824.7;4616.4
Fortune Brands Home & Security;Industrials;8863.1195;611.2;496.1;16.0292;3.6163;315;2.1419;300.7;555.6;4875.7;754;1169.5;-10.2;31.9;13.3747;7.056;14.2687;-128.5;6.8786;2421.9;4579.4
Expeditors International;Industrials;8407.2419;767.496;721.484;9.9051;4.9688;457.223;1.1193;522.179;0;2565.577;861.373;0;-499.027;0;25.6838;16.7589;39.825;-44.383;6.9102;870.901;6616.632
J. B. Hunt Transport Services;Industrials;8407.2025;1055.307;715.694;8.907;6.4653;427.235;1.5113;148.186;23.191;3629.544;532.417;998.003;-271.27;25.577;34.1123;12.1927;24.5056;-725.122;6.9046;2329.192;6187.646
Kansas City Southern;Industrials;8149.2189;1088.4;803.8;9.8587;2.0852;483.5;4.4153;77.1;137.9;8341;355.5;2401.1;-190.1;81.9;12.6228;5.9262;10.5194;-832.2;19.9893;4116.3;2418.8
A.O. Smith Corp;Industrials;6743.232;462.1;399.1;13.7352;4.6753;282.9;2.7238;279;222.9;2629.2;595;249;-121.7;7.4;20.0382;10.9982;24.0017;-72.7;11.1532;1186.9;2536.5
Fluor Corp.;Industrials;6686.9417;944.371;754.633;5.7414;2.231;412.512;0.2926;608.912;0;7625.406;2166.739;986.564;-507.878;44.77;13.5068;5.2151;17.6912;-240.22;2.2773;4511.907;18114.048
Xylem Inc.;Industrials;6546.865;582;449;12.2695;3.1415;340;1.9451;347;433;4657;338;1274;-156;55;16.1482;7.1654;13.1363;-117;9.3074;2573;3653
Huntington Ingalls Industries;Industrials;5958.9049;949;769;6.6785;3.9993;404;0.9015;640;285;6024;759;1273;-199;137;28.3012;6.5889;28.1273;-188;5.755;4534;7020
Rollins Inc.;Industrials;5661.4896;285.157;243.018;19.382;10.8038;152.149;3.7204;156.861;12.801;848.651;123.4;0;-5.461;0;30.8398;18.3665;46.6992;-39.495;10.2436;324.622;1485.305
Flowserve Corporation;Industrials;5506.9728;631.891;504.804;10.7278;3.3434;258.411;1.4709;258.898;978.641;4963.106;1286.746;1620.996;-303.651;65.27;14.4417;5.2041;15.2006;-181.861;5.6697;3298.724;4557.791
IHS Markit Ltd.;Industrials;5418.9355;418.4;247.7;14.6585;2.6099;152.5;5.4319;389.1;0;3568.3;202.5;824;-411.5;19;7.0761;4.4407;8.5578;-16.6;13.6968;1455.8;1113.4
Jacobs Engineering Group;Industrials;5162.8108;594.819;445.527;9.0186;1.203;302.971;0.3968;396.168;0;7785.926;1657.851;597.798;-387.857;19.503;6.9164;3.7313;8.5955;-88.404;2.5008;3429.468;12114.832
Copart Inc;Industrials;4570.1898;456.113;406.47;12.0996;4.7386;270.36;4.7611;158.581;10.388;1649.82;198.004;640.492;-441.285;23.606;31.0952;15.68;27.0824;-173.917;21.3142;875.364;1268.449
Quanta Services Inc.;Industrials;3235.1014;435.196;237.503;8.2516;1.0485;310.907;0.4559;441.023;75.285;5213.543;782.134;482.431;-1605.989;8.024;8.1818;5.4226;5.5342;-209.968;4.1058;2125.728;7572.436
United Parcel Service;Industrials;85684.6084;9752;7668;9.7737;34.6901;4844;1.6258;5051;0;38311;5365;14334;-2453;341;210.1063;13.1361;53.3983;-2379;8.2998;35820;58363
United Technologies;Industrials;85216.1012;9154;7291;10.9432;3.1149;7608;1.7023;4731;8135;87484;21513;20425;-8859;945;25.9787;8.5153;13.8113;-1652;13.562;58518;56098
Union Pacific;Industrials;66792.2313;10064;8052;7.9096;3.2264;4772;3.6317;2694;736;54600;2612;14201;-3465;622;22.7829;8.922;16.429;-4650;21.8769;33898;21813
Waste Management Inc.;Industrials;23829.4542;3290;2045;9.9518;4.4583;753;2.529;1295;92;20367;1785;8929;-538;385;13.4332;3.6146;13.7826;-1233;5.8097;15000;12961
Verisk Analytics;Industrials;13025.6511;918.8;703.4;17.4461;9.4939;507.6;9.1039;497.7;0;5593.7;222.1;3145.7;739.2;121.4;64.1297;12.7875;21.1246;-166.1;28.8294;4221.7;1760.7
Textron Inc.;Industrials;11496.8939;1601;1140;8.3241;2.3161;697;0.9946;670;4144;14708;3530;3610;-187;169;15.0931;4.7556;13.5852;-420;5.1926;9744;13423
Apple Inc.;Information Technology;586859.3468;70529;60024;5.4011;4.9169;45687;2.0909;53497;2132;321686;58245;87032;-29227;1456;36.9033;14.9296;26.9742;-12734;21.1868;193437;215639
Alphabet Inc Class A;Information Technology;527960.7785;24423;19360;18.8394;4.3876;16348;6.1321;16622;491;147461;12853;5220;-1780;104;14.1183;11.8186;16.4007;-9950;21.8005;27130;74989
Microsoft Corp.;Information Technology;443169.418;33700;26078;15.8361;5.5339;20539;3.7273;24982;2251;202897;12742;53461;-15301;1243;25.1745;10.8854;19.9831;-8343;22.5322;119807;91154
Facebook. Inc.;Information Technology;295977.8668;8170;6225;33.9851;6.6936;3669;15.5867;7797;0;49407;1645;114;0;23;9.1366;8.2105;15.3123;-2523;20.4652;5189;17928
Intel Corp.;Information Technology;162569.55;22713;14002;6.7788;2.6229;11420;2.8304;11692;5167;101459;10556;22670;-2135;337;19.3811;11.8122;17.8022;-7326;20.6305;39477;55355
Oracle Corp.;Information Technology;153470.5744;15113;12604;8.4566;3.1537;8901;4.1649;12496;212;112180;2470;43855;-9015;1467;18.553;7.98;13.9125;-1189;24.0262;64390;37047
Cisco Systems;Information Technology;137840.928;14810;12660;7.7799;2.309;10739;2.364;12424;1217;121652;4524;28643;-2653;676;17.4216;9.1386;14.8685;-1146;21.8064;58067;49247
International Business Machines;Information Technology;133506.553;18862;15007;8.3458;9.361;13190;1.9184;13676;1551;110495;16623;31944;-4535;468;100.9568;11.5821;29.7098;-3579;16.1363;96071;81741
Mastercard Inc.;Information Technology;109312.7621;5444;5078;19.1846;18.1342;3808;10.7357;3924;0;16250;3944;3268;-3449;61;59.4164;24.1173;57.4532;-177;39.3917;10188;9667
QUALCOMM Inc.;Information Technology;75132.1533;7923;6495;7.8894;2.3911;5705;3.0575;6861;1556;52359;2792;11757;-3247;297;18.0541;11.061;15.7584;-539;24.2209;20591;23554
Accenture plc;Information Technology;68756.294;5539.497;4810.445;12.7778;11.2095;4111.892;2.0017;4170.834;0;20609.004;6483.196;27.23;-2013.632;16.258;60.0759;21.189;81.3111;-496.566;11.8166;12419.628;34797.661
Salesforce.com;Information Technology;52057.6;640.673;114.923;170.2818;13.0956;-47.426;6.6331;962.229;0;12762.92;1335.313;1286.095;455.482;72.485;-1.0565;-0.4049;1.9723;-709.852;-0.7113;7760.051;6667.216
Netflix Inc.;Information Technology;48884.6709;368.109;305.826;132.9642;21.9862;122.641;7.2289;-918.645;0;10202.871;393.88;2371.362;158.451;132.716;6.0101;1.4223;8.5453;-169.206;1.809;7979.445;6779.511
Adobe Systems Inc;Information Technology;46857.2107;1242.568;903.095;36.0353;6.6924;629.551;9.134;1284.566;0;11726.472;777.202;1907.231;-578.95;64.184;9.1388;5.593;10.1886;-184.936;13.1279;4724.892;4795.511
PayPal;Information Technology;44225.1803;2069;1461;18.5917;3.2143;1228;4.1684;1824;0;28881;1356;0;101;0;11.1601;4.8348;11.9592;-722;13.2785;15122;9248
Broadcom;Information Technology;40132.4601;2594;1632;16.2615;8.5135;1364;5.2851;1725;524;10515;867;3872;366;191;34.2843;12.9868;18.8366;-593;19.9883;5801;6824
Automatic Data Processing;Information Technology;39073.4261;2479.1;2190.5;16.313;8.1259;1492.5;3.484;1728.8;0;43670;2282.4;2007.7;-1080.4;56.2;32.131;3.8877;37.8645;-168.5;12.7916;39188.4;11667.8
Cognizant Technology Solutions;Information Technology;36496.2922;2472;2142;13.2809;3.9336;1624;2.6487;1914;0;13061;1973;1283;-329;18;19.0854;13.2355;21.9828;-273;13.0799;3783;12416
eBay Inc.;Information Technology;32993.97;2884;2197;11.6546;5.0173;1725;3.8587;3365;0;17755;2132;6749;-1928;144;13.0277;5.486;10.1438;-668;20.0768;11179;8592
Activision Blizzard;Information Technology;28304.1264;1813;1319;16.8534;3.5082;892;6.5788;1148;128;15246;909;4074;106;193;11.5156;5.969;11.0349;-111;19.1252;7178;4664
Hewlett Packard Enterprise;Information Technology;26486.3062;5470;1523;6.0002;0.7898;2461;0.6137;317;2198;79916;16063;15794;100;29;7.0003;3.3948;3.4485;-3344;4.723;45998;52107
Intuit Inc.;Information Technology;25476.4211;1480;1242;25.0562;10.9247;979;6.0799;938;0;4250;489;1000;-2067;35;56.055;21.2411;52.0536;-522;20.8564;3089;4694
Corning Inc.;Information Technology;21624.9566;2506;1322;9.5219;1.3116;1339;2.5127;1559;1385;28527;2187;4462;-3126;140;6.9394;4.5707;5.8617;-1250;14.6965;9664;9111
Applied Materials Inc.;Information Technology;21454.321;2064;1693;10.1896;2.8181;1377;1.9306;948;1833;15308;1833;4542;-1181;103;17.7895;9.6693;15.2084;-215;14.2561;7695;9659
Electronic Arts;Information Technology;21358.7141;1095;898;16.2155;6.964;1156;3.9161;1372;0;7050;799;1150;-911;28;35.7618;17.5191;21.9078;-93;26.2966;3652;4396
HP Inc.;Information Technology;21215.4849;7981;3920;2.8675;0.764;4554;0.9775;3423;4288;106882;17223;8871;-2883;167;16.7122;4.3353;8.6627;-3603;8.8491;78731;51463
Fiserv Inc;Information Technology;20902.1492;1728;1311;14.4214;7.858;712;4.6867;987;0;9340;1023;4293;-1413;170;23.9127;7.6362;16.9841;-359;13.5516;6680;5254
Paychex Inc.;Information Technology;19090.446;1261.7;1146.6;15.9919;10.6919;756.8;6.5005;911.5;0;6440.8;304.5;0;-82.3;1.1;40.9391;11.7258;61.9315;-106.7;25.6377;4529.1;2951.9
Nvidia Corporation;Information Technology;17732.48;944;747;14.8222;4.0137;614;2.448;1089;418;7370;298;1514;-457;47;13.8179;8.4277;13.137;-86;12.2555;2901;5010
Analog Devices. Inc.;Information Technology;17263.1962;1053.081;830.841;14.3429;3.403;696.878;4.8331;753.838;412.314;7058.777;403.076;869.935;-79.277;27.03;14.1774;10.0137;13.7795;-153.96;20.287;1985.818;3435.092
Fidelity National Information Services;Information Technology;17098.5319;1768;1099;15.8069;1.8344;632;4.6213;998;0;26200;1196;11444;-234;199;7.9609;3.1041;6.0814;-133;9.5816;16793;6596
Amphenol Corp;Information Technology;16100.4857;1276.3;1104.7;13.4714;4.9716;763.5;3.0851;858.4;851.8;7458.4;1008.1;2813.5;-168.3;68.3;24.8458;10.5716;18.4961;-172.1;13.7106;4180;5568.7
Red Hat Inc.;Information Technology;15137.9412;364.136;288.048;43.0095;11.75;199.365;5.15;694.77;0;4155.099;284.802;723.942;-259.047;23.121;15.2026;5.022;14.2081;-41.553;9.7146;2820.667;2052.23
Skyworks Solutions;Information Technology;14686.1384;1218.9;1023.1;11.1925;4.6487;798.3;4.5891;562.7;267.9;3719.4;372.6;0;-177.2;0;28.0519;23.8541;36.43;-430.1;24.4998;560.2;3258.4
Micron Technology;Information Technology;14658.9965;3148;168;3.0544;1.1869;-276;1.9478;-2649;2889;27540;3868;9910;48;437;-2.2594;-1.068;0.79;-5817;-2.226;14612;12399
Symantec Corp.;Information Technology;14186.0486;761;457;24.4048;2.3902;2488;2.0822;524;0;11767;1335;2207;-1803;75;51.774;19.904;5.6222;-272;69.1111;8091;3600
Lam Research;Information Technology;12579.5313;1365.284;1074.256;10.4187;2.4651;914.049;1.8496;1174.947;971.911;12264.315;1102.836;4533.414;-100.012;134.773;28.7595;8.0842;11.7598;-175.33;15.5295;6369.798;5885.893
Xilinx;Information Technology;12070.116;738.322;669.881;12.4555;4.6217;550.867;4.6624;712.251;178.55;4819.269;305.805;1579.056;-357.416;55.456;21.1811;11.3378;15.2047;-34.004;24.8824;2229.376;2213.881
Citrix Systems;Information Technology;11636.8195;742.964;350.085;16.2733;5.8967;319.361;3.6909;873.723;10.521;5481.438;427.537;1324.992;-637.546;44.153;15.4017;5.81;10.8831;-160.825;9.7497;3507.992;3275.594
Seagate Technology;Information Technology;10962.508;1260;445;4.3575;3.6324;248;0.8935;1093;868;8213;2246;4091;-1011;193;10.7569;2.7467;7.5558;-587;2.2222;6620;11160
KLA-Tencor Corp.;Information Technology;10814.8339;1027.377;960.445;15.6605;25.6617;704.422;4.0175;727.955;698.635;4962.432;153.876;3057.936;-131.477;122.887;126.8597;14.3929;27.174;-31.741;23.6027;4273.318;2984.493
Harris Corporation;Information Technology;10811.4985;1416;1055;16.2503;3.1827;324;2.3907;772;867;12009;1042;4517;44;183;9.9799;2.578;13.8506;-152;5.4072;8952;5992
Maxim Integrated Products Inc;Information Technology;10800.3647;558.486;313.849;18.9369;4.7163;227.475;4.0891;652.516;227.929;4234.616;319.58;1239.807;-113.953;32.7;10.3449;5.3836;9.7372;-69.369;10.3647;2126.802;2194.719
Xerox;Information Technology;10761.8441;1709;1119;10.0385;1.1796;448;1.4968;1527;901;25541;1748;7279;-1315;346;4.5946;1.6842;6.2886;-84;3.9075;16075;11465
Juniper Networks;Information Technology;10649.5217;1088.5;912;9.7739;2.3281;633.7;2.1795;682.2;75;8607.9;677.8;1937.4;-1019.3;83.3;13.3502;7.5042;14.2568;-210.3;13.045;4033.5;4857.8
Microchip Technology;Information Technology;9453.3132;635.516;352.345;13.2653;4.6234;324.132;4.5295;646.588;306.815;5537.883;198.577;2453.405;29.476;104.018;15.4511;6.2825;7.6076;-97.895;14.914;3386.964;2173.334
Akamai Technologies Inc;Information Technology;9364.9269;765.713;466.15;11.0469;3.0007;321.406;3.8319;348.469;0;4181.684;278.148;618.047;-240.815;18.525;10.5966;7.8552;12.5329;-444.983;14.6263;1060.806;2197.448
Global Payments Inc.;Information Technology;8378.817;612.825;424.944;17.1121;11.0542;271.666;5.3965;501.299;0;10664.35;802.74;4830.684;-139.71;108.6;16.0333;3.3042;7.2903;-91.591;9.3738;7885.008;2898.15
NetApp;Information Technology;7755.8902;627;348;3.8291;2.2717;229;0.6633;814;98;10037;623;2339;-885;49;7.2755;2.3562;7.3259;-160;4.1291;7156;5546
Qorvo;Information Technology;7194.2633;686.919;11.968;19.5892;1.1654;-28.845;2.6235;372.303;427.551;6596.819;373.153;988.13;-1248.134;23.316;-0.5163;-0.4277;0.1896;-315.624;-1.1049;1597.147;2610.726
Synopsys Inc.;Information Technology;6907.7652;478.287;266.466;12.8539;2.2041;225.934;3.1196;408.195;0;5045.739;405.107;205;-150.236;2.814;7.2998;4.6009;8.1666;-86.965;10.0764;1911.75;2242.211
Broadridge Financial Solutions;Information Technology;6371.6331;611.3;500.3;11.7944;6.8675;307.5;2.7618;380;0;2872.7;485.3;1015.5;-73.7;28.4;31.1661;11.7348;25.7674;-57.7;10.6144;1827.2;2897
Jack Henry & Associates Inc;Information Technology;6239.2679;491.307;361.659;14.0632;6.2925;248.867;5.018;310.097;0;1815.512;100.007;0.2;-169.254;1.43;25.0401;13.6278;31.7463;-56.325;18.3714;819.302;1354.646
Cadence Design Systems;Information Technology;6190.8918;403.595;285.43;14.4278;4.4988;252.417;3.5665;333.392;56.762;2345.515;238.022;343.288;-242.66;28.311;18.6307;9.0878;15.2467;-44.808;14.8298;969.4;1702.091
Fortinet;Information Technology;5369.4705;46.466;14.877;96.3741;7.1083;7.987;4.4103;245.189;83.868;1790.51;164.018;0;7.314;0;1.116;0.4968;2.0612;-37.358;0.7914;1035.133;1009.268
ANET;Information Technology;5274.1547;162.979;149.308;28.4129;6.6918;121.102;5.5635;180.544;92.129;1159.89;105.889;43.882;64.191;3.152;17.728;12.2889;21.4802;-19.989;14.4584;371.738;837.591
Keysight Technologies;Information Technology;4840.1958;530;431;10.2947;3.7175;513;2.1847;284;487;3508;427;1099;30;46;49.5413;15.645;21.8449;-92;17.9622;2206;2856
FLIR Systems;Information Technology;3936.7725;355.298;305.764;10.7584;2.3866;241.686;2.4026;225.191;393.092;2406.4;248.883;358.444;-100.694;14.086;14.8306;10.164;15.6255;-68.234;15.5219;756.885;1557.067
Visa Inc.;Information Technology;170669.9008;8385;7883;16.8729;5.7191;5991;13.4263;5051;0;64035;2869;15882;-6999;427;21.0074;11.5878;18.1406;-523;39.7228;31123;15082
